観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの6月の1位の値(mm),昨日までの6月の1位の値の品質情報,昨日までの6月の1位の値の年,昨日までの6月の1位の値の月,昨日までの6月の1位の値の日,統計開始年
81141,山口県,篠生（シノブ）,,2019,06,30,05,50,0.0,8,1.5,4,02,24,4,,,93,8,1995,07,22,55.0,8,2010,06,27,1980
81151,山口県,徳佐（トクサ）,,2019,06,30,05,50,2.0,8,2.5,4,00,01,4,,,74,8,2005,08,08,36,8,2000,06,23,1976
81167,山口県,羅漢山（ラカンザン）,,2019,06,30,05,50,0.0,8,4.0,4,00,15,4,,,100,8,1977,09,03,42,8,2004,06,26,1976
81196,山口県,秋吉台（アキヨシダイ）,,2019,06,30,05,50,0.5,8,1.0,4,05,36,4,,,71,8,1977,09,03,52.5,8,2018,06,30,1976
81228,山口県,鹿野（カノ）,,2019,06,30,05,50,0.5,8,1.5,4,02,42,4,,,73.0,8,2012,07,06,56.5,8,2016,06,22,2010
81231,山口県,広瀬（ヒロセ）,,2019,06,30,05,50,0.0,8,2.5,4,02,48,4,,,67,8,1999,09,24,45.5,8,2016,06,22,1976
81266,山口県,豊田（トヨタ）,,2019,06,30,05,50,2.0,8,2.0,4,05,50,4,,,74.0,8,2011,08,21,53,8,1981,06,30,1976
81271,山口県,東厚保（ヒガシアツ）,,2019,06,30,05,50,1.5,8,1.5,4,05,50,4,,,77.5,8,2015,08,25,47.5,8,2010,06,27,2010
81286,山口県,山口（ヤマグチ）,47784,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,143.0,8,2013,07,28,57.5,8,2018,06,30,1966
81301,山口県,和田（ワダ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,91.5,8,2012,08,11,40,8,1979,06,26,1978
81321,山口県,岩国（イワクニ）,,2019,06,30,05,50,0.5,8,3.5,4,03,10,4,,,71.0,8,2014,08,06,40.5,8,2016,06,23,1976
81371,山口県,防府（ホウフ）,,2019,06,30,05,50,0.0,8,0.5,4,05,43,4,,,72.5,8,2009,07,21,43,8,1979,06,26,1976
81386,山口県,下松（クダマツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,86.0,8,2018,07,05,53.0,8,2008,06,20,1976
81397,山口県,玖珂（クガ）,,2019,06,30,05,50,0.0,8,2.0,4,01,14,4,,,76.0,8,2018,07,07,51.5,8,2016,06,23,1977
81428,山口県,下関（シモノセキ）,47762,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,77.4,8,1953,06,28,77.4,8,1953,06,28,1908
81436,山口県,宇部（ウベ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,62,8,1995,09,24,49,8,1986,06,24,1976
81481,山口県,柳井（ヤナイ）,,2019,06,30,05,50,0.0,8,3.0,4,01,53,4,,,69,8,2005,07,03,50,8,2004,06,25,1976
81486,山口県,安下庄（アゲノショウ）,,2019,06,30,05,50,0.0,8,4.0,4,01,45,4,,,58,8,2005,07,03,49.5,8,2016,06,22,1976
82036,福岡県,小呂島（オロノシマ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,85.5,8,2017,08,16,60.5,8,2017,06,30,2014
82046,福岡県,宗像（ムナカタ）,,2019,06,30,05,50,0.0,8,0.5,4,05,28,4,,,68,8,1991,09,14,60,8,1999,06,29,1976
82056,福岡県,八幡（ヤハタ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,73.0,8,2013,07,03,64,8,1999,06,29,1976
82068,福岡県,空港北町（クウコウキタマチ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,64.0,8,2018,07,06,47.5,8,2019,06,07,2006
82097,福岡県,東谷（ヒガシタニ）,,2019,06,30,05,50,0.0,8,0.5,4,00,05,4,,,65.5,8,2015,08,25,58.0,8,2019,06,07,2012
82101,福岡県,行橋（ユクハシ）,,2019,06,30,05,50,0.0,8,0.5,4,00,02,4,,,65.0,8,2009,07,24,58.5,8,2018,06,29,1976
82136,福岡県,飯塚（イイヅカ）,47809,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,101.0,8,2009,07,24,62.0,8,1999,06,29,1935
82171,福岡県,前原（マエバル）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,147,8,1991,09,14,55,8,1991,06,09,1976
82182,福岡県,福岡（フクオカ）,47807,2019,06,30,05,50,0.0,8,0.0,4,,,,,,96.5,8,1997,07,28,79.5,8,1999,06,29,1896
82186,福岡県,博多（ハカタ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,116.0,8,2009,07,24,55.5,8,2016,06,19,2003
82191,福岡県,太宰府（ダザイフ）,,2019,06,30,05,50,0.0,8,1.0,4,00,13,4,,,104,8,2003,07,19,77,8,1999,06,29,1977
82206,福岡県,添田（ソエダ）,,2019,06,30,05,50,0.5,8,2.0,4,00,01,4,,,98,8,1983,07,05,73.5,8,2008,06,21,1976
82241,福岡県,早良脇山（サワラワキヤマ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,71.0,8,2010,07,14,53.5,8,2018,06,29,2010
82261,福岡県,朝倉（アサクラ）,,2019,06,30,05,50,0.0,8,2.0,4,00,15,4,,,129.5,8,2017,07,05,56,8,2005,06,30,1976
82272,福岡県,英彦山（ヒコサン）,,2019,06,30,05,50,0.5,8,9.5,4,00,12,4,,,86.5,8,2012,07,03,54,8,2006,06,23,1988
82306,福岡県,久留米（クルメ）,,2019,06,30,05,50,0.0,8,1.5,4,00,05,4,,,72,8,1999,06,29,72,8,1999,06,29,1977
82316,福岡県,耳納山（ミノウサン）,,2019,06,30,05,50,0.0,8,12.5,4,00,04,4,,,80.0,8,2012,07,14,57.0,8,2016,06,20,1976
82317,福岡県,黒木（クロギ）,,2019,06,30,05,50,0.0,8,14.0,4,00,05,4,,,91.5,8,2012,07,14,70.5,8,2008,06,19,1976
82331,福岡県,柳川（ヤナガワ）,,2019,06,30,05,50,0.0,8,3.5,4,00,01,4,,,91,8,1999,06,29,91,8,1999,06,29,1976
82361,福岡県,大牟田（オオムタ）,,2019,06,30,05,50,0.0,8,15.5,4,00,09,4,,,99,8,1981,06,30,99,8,1981,06,30,1976
83021,大分県,国見（クニミ）,,2019,06,30,05,50,0.0,8,1.0,4,01,16,4,,,104,8,2004,09,29,42,8,1993,06,19,1977
83051,大分県,中津（ナカツ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,57.0,8,2012,07,03,31.5,8,2012,06,24,2011
83061,大分県,豊後高田（ブンゴタカダ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,58,8,2006,07,04,37,8,1979,06,30,1976
83096,大分県,耶馬渓（ヤバケイ）,,2019,06,30,05,50,0.0,8,10.5,4,00,37,4,,,91.0,8,2012,07,03,57,8,2006,06,22,1976
83106,大分県,院内（インナイ）,,2019,06,30,05,50,0.5,8,3.0,4,01,31,4,,,60,8,2003,09,09,38,8,1979,06,30,1976
83121,大分県,杵築（キツキ）,,2019,06,30,05,50,0.0,8,2.0,4,01,57,4,,,70.0,8,2008,09,26,38,8,2001,06,19,1978
83126,大分県,武蔵（ムサシ）,,2019,06,30,05,50,0.0,8,1.5,4,02,04,4,,,70.0,8,2013,07,26,40.0,8,2011,06,20,1976
83137,大分県,日田（ヒタ）,47814,2019,06,30,05,50,0.0,8,5.0,4,00,28,4,,,97.6,8,1948,07,05,57.5,8,2001,06,19,1942
83191,大分県,玖珠（クス）,,2019,06,30,05,50,0.5,8,4.5,4,02,09,4,,,80,8,1982,08,09,56.0,8,2009,06,30,1976
83201,大分県,湯布院（ユフイン）,,2019,06,30,05,50,1.0,8,4.0,4,02,46,4,,,67.0,8,2013,07,03,52.0,8,2012,06,24,1976
83216,大分県,大分（オオイタ）,47815,2019,06,30,05,50,0.0,8,6.0,4,03,22,4,,,81.5,8,1993,09,03,48.5,8,2016,06,20,1937
83226,大分県,佐賀関（サガノセキ）,,2019,06,30,05,50,6.5,8,7.5,4,03,58,4,,,84,8,1998,10,17,47.0,8,2010,06,25,1976
83242,大分県,椿ヶ鼻（ツバキガハナ）,,2019,06,30,05,50,1.0,8,28.5,4,00,52,4,,,85.0,8,2012,07,14,72.0,8,2008,06,19,2004
83286,大分県,臼杵（ウスキ）,,2019,06,30,05,50,6.5,8,6.5,4,05,50,4,,,83,8,2003,09,11,48.5,8,2016,06,20,1976
83341,大分県,犬飼（イヌカイ）,,2019,06,30,05,50,6.0,8,6.0,4,05,50,4,,,69.0,8,2014,08,02,40.0,8,2011,06,30,1976
83371,大分県,竹田（タケタ）,,2019,06,30,05,50,5.5,8,9.0,4,03,35,4,,,78.0,8,2009,08,10,52,8,2001,06,29,1976
83401,大分県,佐伯（サイキ）,,2019,06,30,05,50,1.0,8,4.5,4,04,11,4,,,84.5,8,2017,09,17,37.0,8,2008,06,05,1976
83431,大分県,宇目（ウメ）,,2019,06,30,05,50,0.0,8,1.5,4,04,20,4,,,89.5,8,2017,09,17,70.0,8,2011,06,26,1977
83476,大分県,蒲江（カマエ）,,2019,06,30,05,50,0.5,8,2.5,4,04,47,4,,,122,8,2006,09,16,55,8,1988,06,23,1976
84012,長崎県,鰐浦（ワニウラ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,89.5,8,2016,09,17,67,8,2001,06,18,1995
84072,長崎県,厳原（イヅハラ）,47800,2019,06,30,05,50,0.0,8,0.5,4,01,26,4,,,116.0,8,2003,07,23,69.5,8,2018,06,30,1904
84076,長崎県,美津島（ミツシマ）,,2019,06,30,05,50,0.0,8,0.5,4,01,25,4,,,93.0,8,2015,09,01,61.0,8,2018,06,30,2003
84121,長崎県,芦辺（アシベ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,120.0,8,2017,06,29,120.0,8,2017,06,29,1977
84122,長崎県,石田（イシダ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,111.0,8,2009,07,24,74.0,8,2018,06,28,2003
84171,長崎県,平戸（ヒラド）,47805,2019,06,30,05,50,0.0,8,2.0,4,04,36,4,,,125.5,8,1999,09,02,88.0,8,2016,06,20,1940
84183,長崎県,松浦（マツウラ）,,2019,06,30,05,50,0.0,8,2.5,4,04,51,4,,,73.0,8,2014,11,25,57.5,8,2016,06,20,2011
84236,長崎県,小値賀（オヂカ）,,2019,06,30,05,50,0.0,8,5.5,4,03,54,4,,,79.0,8,2015,08,12,53,8,2004,06,26,2003
84266,長崎県,佐世保（サセボ）,47812,2019,06,30,05,50,2.5,8,4.5,4,05,16,4,,,125.1,8,1967,07,09,104.5,8,2001,06,23,1946
84286,長崎県,頭ヶ島（カシラガシマ）,,2019,06,30,05,50,0.0,8,2.0,4,04,42,4,,,112.5,8,2011,10,14,55.0,8,2018,06,29,2003
84341,長崎県,有川（アリカワ）,,2019,06,30,05,50,0.0,8,2.5,4,04,38,4,,,120.0,8,2011,10,14,61,8,1999,06,29,1977
84356,長崎県,大瀬戸（オオセト）,,2019,06,30,05,50,1.0,8,1.5,4,05,29,4,,,105.0,8,2012,10,28,59,8,1978,06,11,1976
84361,長崎県,長浦岳（ナガウラダケ）,,2019,06,30,05,50,3.0,8,3.0,4,05,50,4,,,153,8,1982,07,23,94,8,2006,06,26,1976
84371,長崎県,大村（オオムラ）,,2019,06,30,05,50,0.0,8,0.5,4,02,35,4,,,85,8,1982,07,23,76,8,2006,06,26,1976
84441,長崎県,諫早（イサハヤ）,,2019,06,30,05,50,0.5,8,3.5,4,00,17,4,,,101,8,1999,07,23,70,8,1999,06,29,1976
84496,長崎県,長崎（ナガサキ）,47817,2019,06,30,05,50,1.0,8,1.5,4,05,49,4,,,127.5,8,1982,07,23,86.0,8,1972,06,27,1897
84519,長崎県,雲仙岳（ウンゼンダケ）,47818,2019,06,30,05,50,11.5,8,14.5,4,05,34,4,,,134.5,8,2015,08,25,124.5,8,2016,06,20,1937
84523,長崎県,島原（シマバラ）,,2019,06,30,05,50,2.0,8,20.0,4,01,11,4,,,97.0,8,2016,06,20,97.0,8,2016,06,20,2006
84536,長崎県,福江（フクエ）,47843,2019,06,30,05,50,0.5,8,5.0,4,04,00,4,,,113.5,8,1967,07,09,78.5,8,1985,06,28,1962
84537,長崎県,上大津（カミオオヅ）,,2019,06,30,05,50,0.0,8,4.0,4,04,04,4,,,94,8,2003,09,11,62.5,8,2012,06,24,2003
84561,長崎県,口之津（クチノツ）,,2019,06,30,05,50,17.5,8,25.0,4,05,30,4,,,82.0,8,2017,07,06,78.0,8,2018,06,29,1976
84596,長崎県,野母崎（ノモザキ）,,2019,06,30,05,50,1.5,8,2.0,4,05,47,4,,,80,8,1996,07,03,66.5,8,2016,06,20,1991
85033,佐賀県,唐津（カラツ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,70.0,8,2017,08,26,39.5,8,2016,06,20,2010
85046,佐賀県,北山（ホクザン）,,2019,06,30,05,50,1.0,8,1.5,4,04,37,4,,,80.0,8,2010,07,14,57.0,8,2016,06,20,2010
85106,佐賀県,鳥栖（トス）,,2019,06,30,05,50,0.0,8,1.5,4,00,08,4,,,73.5,8,2018,06,29,73.5,8,2018,06,29,2010
85116,佐賀県,伊万里（イマリ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,99,8,2006,09,16,91,8,2001,06,23,1976
85142,佐賀県,佐賀（サガ）,47813,2019,06,30,05,50,0.0,8,0.5,4,04,18,4,,,101.5,8,1937,07,25,72.3,8,1953,06,25,1926
85161,佐賀県,嬉野（ウレシノ）,,2019,06,30,05,50,1.5,8,2.5,4,00,38,4,,,84.5,8,2018,07,06,83.5,8,2008,06,19,1977
85166,佐賀県,白石（シロイシ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,80,8,1993,08,20,79.5,8,2008,06,19,1976
85176,佐賀県,川副（カワソエ）,,2019,06,30,05,50,0.0,8,0.5,4,05,00,4,,,59.5,8,2008,06,19,59.5,8,2008,06,19,2003
86006,熊本県,鹿北（カホク）,,2019,06,30,05,50,0.0,8,36.5,4,00,33,4,,,95.5,8,2017,08,15,64.5,8,2016,06,22,1976
86066,熊本県,南小国（ミナミオグニ）,,2019,06,30,05,50,2.0,8,20.0,4,01,58,4,,,98,8,2005,07,10,63.0,8,2009,06,29,1976
86086,熊本県,岱明（タイメイ）,,2019,06,30,05,50,0.0,8,8.5,4,00,58,4,,,91.5,8,2013,08,04,86,8,2006,06,26,1976
86101,熊本県,菊池（キクチ）,,2019,06,30,05,50,0.5,8,29.0,4,01,30,4,,,91,8,2006,07,02,81.5,8,2016,06,22,1976
86111,熊本県,阿蘇乙姫（アソオトヒメ）,,2019,06,30,05,50,23.0,8,39.0,4,02,04,4,,,108.0,8,2012,07,12,81,8,2001,06,29,1978
86141,熊本県,熊本（クマモト）,47819,2019,06,30,05,50,36.5,8,36.5,4,05,50,4,,,94.0,8,2016,06,20,94.0,8,2016,06,20,1890
86146,熊本県,益城（マシキ）,,2019,06,30,05,50,42.0,8,42.0,4,05,50,4,,,114,8,2006,06,26,114,8,2006,06,26,1976
86157,熊本県,南阿蘇（ミナミアソ）,,2019,06,30,05,50,37.5,8,49.5,4,02,36,4,,,77.0,8,2016,07,14,70.5,8,2016,06,21,2015
86161,熊本県,高森（タカモリ）,,2019,06,30,05,50,28.0,8,31.5,4,02,44,4,,,80,8,1988,05,03,70.5,8,2016,06,21,1976
86181,熊本県,宇土（ウト）,,2019,06,30,05,50,49.0,8,49.0,4,05,50,4,,,122.0,8,2016,06,20,122.0,8,2016,06,20,2006
86197,熊本県,山都（ヤマト）,,2019,06,30,05,50,25.5,8,25.5,4,05,50,4,,,126.5,8,2016,06,21,126.5,8,2016,06,21,2010
86216,熊本県,三角（ミスミ）,,2019,06,30,05,50,61.5,8,61.5,4,05,50,4,,,104.0,8,2016,06,20,104.0,8,2016,06,20,1976
86236,熊本県,甲佐（コウサ）,,2019,06,30,05,50,25.0,8,25.0,4,05,50,4,,,150.0,8,2016,06,21,150.0,8,2016,06,21,1976
86271,熊本県,松島（マツシマ）,,2019,06,30,05,50,39.5,8,40.0,4,05,49,4,,,79.0,8,2009,10,02,66,8,1990,06,15,1976
86316,熊本県,本渡（ホンド）,,2019,06,30,05,50,43.0,8,46.0,4,05,40,4,,,90.5,8,2009,10,02,57.5,8,2015,06,11,1976
86336,熊本県,八代（ヤツシロ）,,2019,06,30,05,50,5.5,8,13.0,4,02,40,4,,,77,8,2007,07,07,56.5,8,2012,06,16,1976
86396,熊本県,田浦（タノウラ）,,2019,06,30,05,50,1.5,8,10.5,4,03,07,4,,,100,8,2005,07,06,73.5,8,2017,06,25,1976
86407,熊本県,山江（ヤマエ）,,2019,06,30,05,50,0.0,8,1.0,4,03,23,4,,,89.5,8,2009,10,02,78.0,8,2008,06,22,1990
86411,熊本県,五木（イツキ）,,2019,06,30,05,50,0.0,8,2.5,4,03,08,4,,,98.5,8,2012,07,12,52.0,8,2012,06,24,2012
86451,熊本県,水俣（ミナマタ）,,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,83,8,2006,07,02,66.0,8,2012,06,16,1976
86461,熊本県,一勝地（イッショウチ）,,2019,06,30,05,50,0.0,8,0.5,4,03,26,4,,,71,8,2006,07,02,55.0,8,2010,06,30,2006
86467,熊本県,人吉（ヒトヨシ）,47824,2019,06,30,05,50,4.5,8,7.0,4,05,29,4,,,103.5,8,1996,07,03,56.5,8,2017,06,30,1943
86477,熊本県,上（ウエ）,,2019,06,30,05,50,0.5,8,3.5,4,04,02,4,,,81,8,1996,07,03,52,8,1988,06,24,1977
86478,熊本県,多良木（タラギ）,,2019,06,30,05,50,10.0,8,12.5,4,05,30,4,,,88.0,8,2009,10,02,58.0,8,2008,06,22,2006
86481,熊本県,湯前横谷（ユノマエヨコタニ）,,2019,06,30,05,50,4.0,8,6.5,4,04,20,4,,,82.0,8,2017,07,22,69.5,8,2008,06,22,1976
86491,熊本県,牛深（ウシブカ）,47838,2019,06,30,05,50,2.5,8,2.5,4,05,50,4,,,97.6,8,1949,08,12,83.5,8,2016,06,19,1949
87041,宮崎県,高千穂（タカチホ）,,2019,06,30,05,50,1.5,8,6.5,4,03,47,4,,,73,8,1993,08,09,61.5,8,2016,06,21,1976
87066,宮崎県,古江（フルエ）,,2019,06,30,05,50,0.0,8,1.0,4,05,01,4,,,85,8,2001,10,16,51,8,1993,06,02,1977
87071,宮崎県,鞍岡（クラオカ）,,2019,06,30,05,50,1.5,8,8.0,4,03,39,4,,,97.5,8,2016,06,21,97.5,8,2016,06,21,1979
87086,宮崎県,日之影（ヒノカゲ）,,2019,06,30,05,50,1.0,8,3.0,4,03,59,4,,,58.0,8,2017,09,17,44.5,8,2016,06,21,2010
87127,宮崎県,諸塚（モロツカ）,,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,116,8,1990,08,11,44.0,8,2016,06,21,1979
87136,宮崎県,北方（キタカタ）,,2019,06,30,05,50,0.0,8,0.5,4,04,50,4,,,72,8,2003,09,11,61,8,2003,06,19,1987
87141,宮崎県,延岡（ノベオカ）,47822,2019,06,30,05,50,0.0,8,0.0,4,,,,,,82.7,8,1963,10,25,54.0,8,2012,06,18,1961
87157,宮崎県,椎葉（シイバ）,,2019,06,30,05,50,0.5,8,1.5,4,03,54,4,,,64.5,8,2013,08,13,61.5,8,2016,06,21,2011
87181,宮崎県,日向（ヒュウガ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,89.0,8,2016,09,19,55.5,8,2016,06,21,1976
87206,宮崎県,神門（ミカド）,,2019,06,30,05,50,1.0,8,3.0,4,05,06,4,,,123,8,2004,08,17,71.0,8,2011,06,25,1979
87231,宮崎県,西米良（ニシメラ）,,2019,06,30,05,50,1.0,8,7.5,4,00,04,4,,,74,8,1999,09,14,67.0,8,2008,06,22,1979
87251,宮崎県,都農（ツノ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,76.5,8,2018,09,12,59.0,8,2010,06,29,2010
87293,宮崎県,高鍋（タカナベ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,96.0,8,2018,09,30,31.0,8,2019,06,14,2017
87301,宮崎県,加久藤（カクトウ）,,2019,06,30,05,50,0.5,8,4.5,4,03,06,4,,,71.5,8,2014,06,04,71.5,8,2014,06,04,1976
87331,宮崎県,西都（サイト）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,84,8,2007,07,13,71,8,1979,06,18,1976
87346,宮崎県,えびの（エビノ）,,2019,06,30,05,50,9.0,8,11.5,4,05,21,4,,,110.0,8,2010,07,03,80.0,8,2016,06,21,1976
87352,宮崎県,小林（コバヤシ）,,2019,06,30,05,50,3.5,8,3.5,4,05,50,4,,,72,8,2006,07,02,56.0,8,2011,06,19,2000
87361,宮崎県,野尻（ノジリ）,,2019,06,30,05,50,0.0,8,1.0,4,02,31,4,,,72.0,8,2016,06,21,72.0,8,2016,06,21,1976
87371,宮崎県,国富（クニトミ）,,2019,06,30,05,50,0.0,8,1.0,4,02,45,4,,,81.5,8,2017,09,17,66.0,8,2016,06,21,1976
87376,宮崎県,宮崎（ミヤザキ）,47830,2019,06,30,05,50,0.0,8,0.0,4,,,,,,139.5,8,1995,09,30,91.6,8,1942,06,23,1925
87406,宮崎県,田野（タノ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,70.0,8,2017,09,16,31.5,8,2018,06,30,2017
87412,宮崎県,赤江（アカエ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,110.5,8,2016,09,20,47.5,8,2012,06,24,2003
87426,宮崎県,都城（ミヤコノジョウ）,47829,2019,06,30,05,50,0.0,8,0.5,4,05,25,4,,,96.5,8,2012,07,22,72.5,8,2006,06,24,1942
87461,宮崎県,深瀬（フカセ）,,2019,06,30,05,50,0.5,8,5.0,4,03,30,4,,,77.0,8,2016,07,08,70.5,8,2010,06,20,1977
87492,宮崎県,油津（アブラツ）,47835,2019,06,30,05,50,0.0,8,0.0,4,,,,,,89.5,8,1981,09,25,66.0,8,1969,06,30,1949
87501,宮崎県,串間（クシマ）,,2019,06,30,05,50,0.0,8,1.0,4,05,06,4,,,78.5,8,2016,09,17,77,8,2007,06,25,1976
88061,鹿児島県,阿久根（アクネ）,47823,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,107.0,8,1972,06,27,107.0,8,1972,06,27,1939
88066,鹿児島県,出水（イズミ）,,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,74,8,1979,07,17,56,8,1996,06,17,1976
88081,鹿児島県,大口（オオクチ）,,2019,06,30,05,50,0.0,8,1.5,4,00,04,4,,,94.5,8,2010,08,24,83.5,8,2016,06,21,1976
88101,鹿児島県,紫尾山（シビサン）,,2019,06,30,05,50,2.5,8,2.5,4,05,50,4,,,89,8,1988,07,18,79,8,2007,06,22,1976
88107,鹿児島県,さつま柏原（サツマカシワバル）,,2019,06,30,05,50,0.0,8,4.5,4,00,03,4,,,104,8,1991,07,27,77,8,2006,06,24,1976
88131,鹿児島県,中甑（ナカコシキ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,107.5,8,2017,05,12,79.5,8,2012,06,16,1976
88151,鹿児島県,川内（センダイ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,75.5,8,2008,06,21,75.5,8,2008,06,21,1977
88166,鹿児島県,溝辺（ミゾベ）,,2019,06,30,05,50,0.0,8,0.5,4,05,28,4,,,101.0,8,2012,07,13,81.5,8,2008,06,21,1976
88211,鹿児島県,八重山（ヤエヤマ）,,2019,06,30,05,50,4.0,8,4.5,4,05,35,4,,,80.0,8,2017,06,24,80.0,8,2017,06,24,1976
88261,鹿児島県,東市来（ヒガシイチキ）,,2019,06,30,05,50,1.5,8,1.5,4,05,50,4,,,79.5,8,2013,09,01,66,8,2001,06,13,1976
88286,鹿児島県,牧之原（マキノハラ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,96.0,8,2016,09,20,67.5,8,2016,06,19,1976
88317,鹿児島県,鹿児島（カゴシマ）,47827,2019,06,30,05,50,5.0,8,5.0,4,05,50,4,,,104.5,8,1995,08,11,70.3,8,1939,06,21,1902
88331,鹿児島県,輝北（キホク）,,2019,06,30,05,50,1.5,8,1.5,4,05,50,4,,,93,8,2003,09,11,77.0,8,2016,06,19,1977
88341,鹿児島県,大隅（オオスミ）,,2019,06,30,05,50,8.5,8,9.5,4,05,45,4,,,93,8,2006,07,05,69.5,8,2010,06,25,1977
88371,鹿児島県,加世田（カセダ）,,2019,06,30,05,50,7.0,8,7.0,4,05,50,4,,,87.5,8,2016,09,20,68.0,8,2010,06,19,1976
88392,鹿児島県,吉ケ別府（ヨシガベップ）,,2019,06,30,05,50,0.5,8,3.0,4,00,34,4,,,85.5,8,2010,07,02,84,8,2007,06,25,1977
88406,鹿児島県,志布志（シブシ）,,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,87,8,2007,06,25,87,8,2007,06,25,1976
88432,鹿児島県,喜入（キイレ）,,2019,06,30,05,50,2.0,8,6.5,4,04,57,4,,,95.0,8,2016,09,20,72.5,8,2012,06,27,1977
88442,鹿児島県,鹿屋（カノヤ）,,2019,06,30,05,50,1.5,8,1.5,4,05,50,4,,,85,8,2006,07,05,66.0,8,2016,06,30,1977
88447,鹿児島県,肝付前田（キモツキマエダ）,,2019,06,30,05,50,2.0,8,2.0,4,05,50,4,,,75.0,8,2014,06,27,75.0,8,2014,06,27,1977
88466,鹿児島県,枕崎（マクラザキ）,47831,2019,06,30,05,50,7.0,8,7.0,4,05,50,4,,,127.0,8,2000,06,25,127.0,8,2000,06,25,1937
88486,鹿児島県,指宿（イブスキ）,,2019,06,30,05,50,2.5,8,3.5,4,05,35,4,,,78,8,2000,06,25,78,8,2000,06,25,1976
88506,鹿児島県,内之浦（ウチノウラ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,128.5,8,2015,04,30,89.0,8,2012,06,27,1976
88536,鹿児島県,田代（タシロ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,107,8,2007,06,22,107,8,2007,06,22,1977
88551,鹿児島県,佐多（サタ）,,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,116.0,8,2010,06,19,116.0,8,2010,06,19,1977
88612,鹿児島県,種子島（タネガシマ）,47837,2019,06,30,05,50,0.0,8,0.0,4,,,,,,126.0,8,2001,09,02,85.5,8,2004,06,11,1948
88621,鹿児島県,中種子（ナカタネ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,77.5,8,2015,06,25,77.5,8,2015,06,25,2006
88666,鹿児島県,上中（カミナカ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,115.0,8,2010,07,03,85,8,1991,06,29,1976
88686,鹿児島県,屋久島（ヤクシマ）,47836,2019,06,30,05,50,0.0,8,0.0,4,,,,,,125.0,8,1999,05,18,122.0,8,1985,06,07,1937
88706,鹿児島県,尾之間（オノアイダ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,100.0,8,2019,05,18,84,8,1999,06,13,1976
88736,鹿児島県,中之島（ナカノシマ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,129.5,8,2016,09,03,79,8,2005,06,19,2002
88746,鹿児島県,平島（タイラジマ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,78.0,8,2017,07,05,69.0,8,2015,06,30,2014
